Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
D,51,6,6,3,3
D,52,6,3,126,3
D,53,6,0,141,9
D,54,6,0,9,0
D,55,3,0,48,6
D,56,0,0,240,15
D,57,0,9,18,21
D,58,0,3,42,18
D,59,0,3,36,15
D,60,0,0,3,6
D,61,0,3,9,12
D,62,0,0,18,15
D,63,0,0,0,12
D,64,6,0,0,15
D,65,0,0,12,27
D,66,0,0,0,21
D,67,3,0,0,9
D,68,0,3,0,9
D,69,0,3,0,0
D,70,0,0,0,15
D,71,0,0,0,18
D,72,3,0,3,9
D,73,6,0,0,9
D,74,3,0,0,12
D,75,3,0,12,18
D,76,0,0,12,12
D,77,3,0,0,3
D,78,3,0,3,0
D,79,0,0,3,0
D,80,0,0,0,0
D,81,0,0,21,0
D,82,0,0,18,0
D,83,3,0,0,0
D,84,0,0,15,0
D,85,0,0,15,0
D,86,0,0,0,0
D,87,0,0,36,0
D,88,0,0,33,0
D,89,0,0,0,0
D,90,0,0,24,0
D,91,0,0,24,0
D,92,0,0,0,0
D,93,0,0,12,0
D,94,0,0,12,0
D,95,0,0,0,0
D,96,0,0,18,0
D,97,0,0,18,0
D,98,0,0,0,0
D,99,0,0,3,0
D,100,0,0,3,0
D,101,0,0,0,0
D,102,0,0,0,0
D,103,0,0,0,0
D,104,0,0,0,0
D,105,0,0,0,0
D,106,0,0,0,0
E,-106,0,0,0,0
E,-105,0,0,0,0
E,-104,0,0,0,0
E,-103,0,0,0,0
E,-102,0,0,0,0
E,-101,0,0,0,0
E,-100,0,0,12,0
E,-99,0,0,12,0
E,-98,0,0,0,0
E,-97,0,0,9,0
E,-96,0,0,9,0
E,-95,0,0,0,0
E,-94,0,0,21,0
E,-93,0,0,21,0
E,-92,0,0,0,0
E,-91,0,0,45,0
E,-90,0,0,45,0
E,-89,0,0,0,0
E,-88,0,0,12,0
E,-87,0,0,15,0
E,-86,0,0,0,0
E,-85,0,0,48,0
E,-84,0,0,51,0
E,-83,0,0,3,0
E,-82,0,0,3,0
E,-81,0,0,9,0
E,-80,0,0,0,0
E,-79,0,0,9,0
E,-78,0,0,9,0
E,-77,0,0,0,6
E,-76,0,0,0,9
E,-75,0,0,3,3
E,-74,0,0,15,3
E,-73,0,0,9,9
E,-72,0,0,6,21
E,-71,0,0,6,33
E,-70,0,0,0,21
E,-69,0,0,0,21
E,-68,0,0,3,45
E,-67,0,0,9,33
E,-66,0,0,6,18
E,-65,0,0,27,24
E,-64,0,0,15,18
E,-63,0,0,0,6
E,-62,0,0,69,15
E,-61,0,0,24,21
E,-60,0,0,0,27
E,-59,0,0,117,18
E,-58,0,0,21,9
E,-57,0,0,0,3
E,-56,0,0,207,0
E,-55,0,0,129,0
